"﻿最高氣溫 (攝氏度) - 香港國際機場"
"Maximum Temperature (°C) - Hong Kong International Airport"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2024,11,6,28.6,C
2024,11,7,28.2,C
2024,11,8,27.5,C
2024,11,9,29.8,C
2024,11,10,27.3,C
2024,11,11,29.3,C
2024,11,12,29.8,C
2024,11,13,26.9,C
2024,11,14,27.0,C
2024,11,15,26.8,C
2024,11,16,28.4,C
2024,11,17,26.9,C
2024,11,18,27.7,C
2024,11,19,22.9,C
2024,11,20,18.8,C
2024,11,21,21.6,C
2024,11,22,21.9,C
2024,11,23,21.9,C
2024,11,24,21.8,C
2024,11,25,23.4,C
2024,11,26,23.4,C
2024,11,27,22.5,C
2024,11,28,22.5,C
2024,11,29,22.5,C
2024,11,30,22.4,C
2024,12,1,23.4,C
2024,12,2,24.9,C
2024,12,3,26.0,C
2024,12,4,26.7,C
2024,12,5,24.8,C
2024,12,6,23.3,C
2024,12,7,23.9,C
2024,12,8,21.2,C
2024,12,9,21.0,C
2024,12,10,25.2,C
2024,12,11,25.0,C
2024,12,12,21.9,C
2024,12,13,20.8,C
2024,12,14,17.9,C
2024,12,15,17.0,C
2024,12,16,19.0,C
2024,12,17,21.2,C
2024,12,18,22.4,C
2024,12,19,18.3,C
2024,12,20,17.5,C
2024,12,21,20.7,C
2024,12,22,19.1,C
2024,12,23,18.7,C
2024,12,24,19.5,C
2024,12,25,18.9,C
2024,12,26,21.8,C
2024,12,27,21.8,C
2024,12,28,19.8,C
2024,12,29,19.5,C
2024,12,30,21.2,C
2024,12,31,22.7,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
