"﻿最低氣溫 (攝氏度) - 香港國際機場"
"Minimum Temperature (°C) - Hong Kong International Airport"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2024,7,25,29.8,C
2024,7,26,29.5,C
2024,7,27,27.9,C
2024,7,28,25.9,C
2024,7,29,25.9,C
2024,7,30,26.1,C
2024,7,31,26.0,C
2024,8,1,28.2,C
2024,8,2,29.0,C
2024,8,3,28.9,C
2024,8,4,28.7,C
2024,8,5,29.5,C
2024,8,6,29.7,C
2024,8,7,29.1,C
2024,8,8,29.6,C
2024,8,9,29.2,C
2024,8,10,29.7,C
2024,8,11,29.6,C
2024,8,12,26.8,C
2024,8,13,26.7,C
2024,8,14,28.4,C
2024,8,15,26.1,C
2024,8,16,26.3,C
2024,8,17,25.1,C
2024,8,18,25.5,C
2024,8,19,27.6,C
2024,8,20,24.9,C
2024,8,21,26.0,C
2024,8,22,27.4,C
2024,8,23,28.5,C
2024,8,24,28.6,C
2024,8,25,28.3,C
2024,8,26,28.4,C
2024,8,27,28.9,C
2024,8,28,26.0,C
2024,8,29,27.4,C
2024,8,30,28.5,C
2024,8,31,28.1,C
2024,9,1,27.7,C
2024,9,2,28.4,C
2024,9,3,25.0,C
2024,9,4,26.2,C
2024,9,5,25.6,C
2024,9,6,25.8,C
2024,9,7,27.5,C
2024,9,8,27.4,C
2024,9,9,27.7,C
2024,9,10,27.1,C
2024,9,11,27.8,C
2024,9,12,27.8,C
2024,9,13,27.8,C
2024,9,14,27.7,C
2024,9,15,28.0,C
2024,9,16,27.7,C
2024,9,17,28.0,C
2024,9,18,26.9,C
2024,9,19,29.1,C
2024,9,20,27.8,C
2024,9,21,25.9,C
2024,9,22,24.2,C
2024,9,23,23.0,C
2024,9,24,25.3,C
2024,9,25,27.4,C
2024,9,26,27.1,C
2024,9,27,27.9,C
2024,9,28,28.8,C
2024,9,29,26.4,C
2024,9,30,28.2,C
2024,10,1,27.2,C
2024,10,2,24.9,C
2024,10,3,23.2,C
2024,10,4,24.8,C
2024,10,5,26.1,C
2024,10,6,26.8,C
2024,10,7,27.9,C
2024,10,8,26.3,C
2024,10,9,25.5,C
2024,10,10,24.4,C
2024,10,11,24.5,C
2024,10,12,26.0,C
2024,10,13,25.9,C
2024,10,14,26.5,C
2024,10,15,26.5,C
2024,10,16,27.4,C
2024,10,17,27.4,C
2024,10,18,27.3,C
2024,10,19,26.5,C
2024,10,20,27.1,C
2024,10,21,26.1,C
2024,10,22,26.1,C
2024,10,23,23.6,C
2024,10,24,21.6,C
2024,10,25,23.1,C
2024,10,26,24.6,C
2024,10,27,24.5,C
2024,10,28,24.3,C
2024,10,29,23.1,C
2024,10,30,23.8,C
2024,10,31,23.1,C
2024,11,1,24.0,C
2024,11,2,22.9,C
2024,11,3,24.4,C
2024,11,4,24.0,C
2024,11,5,22.7,C
2024,11,6,23.5,C
2024,11,7,21.9,C
2024,11,8,19.7,C
2024,11,9,24.1,C
2024,11,10,23.8,C
2024,11,11,24.1,C
2024,11,12,23.1,C
2024,11,13,23.2,C
2024,11,14,23.3,C
2024,11,15,23.4,C
2024,11,16,24.8,C
2024,11,17,23.4,C
2024,11,18,22.9,C
2024,11,19,18.0,C
2024,11,20,17.0,C
2024,11,21,16.6,C
2024,11,22,18.2,C
2024,11,23,18.0,C
2024,11,24,18.8,C
2024,11,25,20.5,C
2024,11,26,18.1,C
2024,11,27,16.0,C
2024,11,28,17.0,C
2024,11,29,16.0,C
2024,11,30,15.9,C
2024,12,1,16.1,C
2024,12,2,17.8,C
2024,12,3,18.7,C
2024,12,4,21.4,C
2024,12,5,20.5,C
2024,12,6,19.2,C
2024,12,7,17.7,C
2024,12,8,14.8,C
2024,12,9,16.6,C
2024,12,10,19.0,C
2024,12,11,19.4,C
2024,12,12,16.2,C
2024,12,13,14.5,C
2024,12,14,13.1,C
2024,12,15,12.3,C
2024,12,16,14.1,C
2024,12,17,13.8,C
2024,12,18,16.7,C
2024,12,19,13.0,C
2024,12,20,11.5,C
2024,12,21,12.5,C
2024,12,22,12.9,C
2024,12,23,15.1,C
2024,12,24,15.1,C
2024,12,25,14.9,C
2024,12,26,17.0,C
2024,12,27,18.5,C
2024,12,28,15.1,C
2024,12,29,12.6,C
2024,12,30,13.2,C
2024,12,31,16.9,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
